city,vax_rate,active,lat,long,city2
כפר מנדא,40.81,NA,32.81034,35.26009,Kafr Manda
רכסים,26.22,NA,32.74907,35.09901,Rekhasim
טלמון,42.07,NA,31.93927,35.13539,Talmon
צור הדסה,45.92,NA,31.71912,35.09708,Zur Hadassa
אחוזת ברק,66.47,0.0,32.64187,35.33834,Ahuzzat Baraq
דייר חנא,50.26,NA,32.86196,35.36365,Deir Hanna
חדרה,57.54,NA,32.44192,34.9039,Hadera
כרמיאל,64.49,NA,32.91708,35.30501,Karmi'el
זרזיר,45.22,NA,32.72754,35.21381,Zarzir
רהט,28.55,11.5,31.39547,34.75699,Rahat
רמלה,50.27,2.2,31.92923,34.86563,Ramla
יבנאל,30.85,NA,32.70619,35.50435,Yavne'el
נשר,63.39,NA,32.76622,35.04425,Nesher
כוכב השחר,42.55,NA,31.96028,35.34923,Kokhav HaShahar
שתולים,56.00,0.0,31.77354,34.68388,Shetulim
יאנוח-ג'ת,49.49,NA,32.98515,35.2491,Yanuh-Jat
שלומי,59.72,0.0,33.07216,35.14452,Shelomi
ג'ולס,56.99,NA,32.94267,35.18278,Julis
אליכין,60.07,0.0,32.40793,34.92433,Elyakhin
מעגלים,43.80,0.0,31.39688,34.5995,Ma'galim
חצור הגלילית,55.48,NA,32.98049,35.54243,Hazor HaGelilit
צור משה,51.97,0.0,32.29819,34.91313,Zur Moshe
בנימינה-גבעת עדה,59.10,NA,32.51824,34.95398,Binyamina-Giv'at Ada
נתיבות,37.95,NA,31.42305,34.58911,Netivot
חריש,36.30,NA,32.46096,35.0435,Harish
ברקת,31.83,NA,32.01839,34.94416,Bareqet
רבבה,41.28,0.0,32.11926,35.12896,Revava
שדרות,50.19,NA,31.525,34.59693,Sederot
ירושלים,39.97,4.9,31.76904,35.21633,Jerusalem
בית דגן,57.60,NA,32.00191,34.82977,Bet Dagan
ראש פינה,58.06,NA,32.96894,35.54258,Rosh Pinna
כפר כנא,47.94,NA,32.7466,35.34242,Kafr Kanna
מצפה יריחו,38.32,0.0,31.81672,35.39405,Mizpe Yeriho
דימונה,64.62,NA,31.07079,35.03269,Dimona
סולם,57.14,0.0,32.60606,35.33408,Sulam
סח'נין,50.12,NA,32.86422,35.29707,Sakhnin
אלעזר,57.23,NA,31.65977,35.14316,El'azar
קרית ביאליק,65.26,NA,32.8275,35.08583,Qiryat Bialik
